state,stringency_score,sq_overall_sensitivity,imp_overall_sensitivity,sensitivity_gain_pp,sq_bw_gap_pp,imp_bw_gap_pp,gap_reduction_pp,sq_hiw_gap_pp,imp_hiw_gap_pp,sq_aiw_gap_pp,imp_aiw_gap_pp,sq_rural_sensitivity,sq_urban_sensitivity,imp_rural_sensitivity,imp_urban_sensitivity,sq_ru_gap_pp,imp_ru_gap_pp
FL,2.4,14.34,40.73,26.39,8.92,10.88,-1.97,6.32,9.76,9.97,6.56,13.9,14.51,42.08,40.19,0.61,-1.89
AZ,2.8,14.34,40.73,26.39,8.92,10.88,-1.97,6.32,9.76,9.97,6.56,13.9,14.51,42.08,40.19,0.61,-1.89
TN,3.2,18.55,40.73,22.18,11.75,10.88,0.87,8.51,9.76,12.92,6.56,17.69,18.9,42.08,40.19,1.2,-1.89
TX,3.5,23.48,40.73,17.25,14.71,10.88,3.82,12.4,9.76,16.27,6.56,23.4,23.52,42.08,40.19,0.12,-1.89
AR,3.8,30.54,47.22,16.68,11.85,12.08,-0.22,7.93,10.96,10.06,6.57,30.37,30.61,49.18,46.43,0.23,-2.75
OK,4.1,24.65,43.96,19.31,12.07,11.52,0.55,8.33,10.41,11.71,6.58,24.07,24.89,45.61,43.31,0.81,-2.3
GA,4.2,31.18,43.96,12.78,14.46,11.52,2.94,12.44,10.41,14.28,6.58,31.9,30.9,45.61,43.31,-1.0,-2.3
LA,4.8,29.02,43.96,14.94,11.37,11.52,-0.15,7.52,10.41,9.55,6.58,28.77,29.12,45.61,43.31,0.35,-2.3
KY,5.0,31.18,43.96,12.78,14.46,11.52,2.94,12.44,10.41,14.28,6.58,31.9,30.9,45.61,43.31,-1.0,-2.3
OH,5.3,36.73,43.96,7.23,13.36,11.52,1.84,11.56,10.41,11.37,6.58,37.97,36.24,45.61,43.31,-1.73,-2.3
IN,5.8,34.57,50.66,16.09,12.47,11.71,0.76,8.15,10.6,9.8,5.61,34.61,34.55,53.36,49.58,-0.06,-3.78
MI,5.9,32.86,48.83,15.97,12.11,12.37,-0.26,7.92,11.24,9.74,6.64,32.8,32.88,50.96,47.98,0.08,-2.98
NC,6.0,38.91,46.13,7.23,13.71,11.88,1.83,11.95,10.79,11.36,6.51,40.37,38.32,47.98,45.39,-2.04,-2.59
MT,6.1,39.98,47.22,7.23,13.94,12.08,1.86,12.18,10.96,11.39,6.57,41.54,39.37,49.18,46.43,-2.17,-2.75
WI,6.4,43.74,50.66,6.92,14.65,11.71,2.94,12.92,10.6,11.44,5.61,45.67,42.97,53.36,49.58,-2.69,-3.78
NY,8.4,45.36,51.78,6.42,14.94,11.1,3.84,13.23,9.97,11.46,4.73,47.44,44.53,55.13,50.44,-2.91,-4.69
CA,8.9,43.74,50.66,6.92,14.65,11.71,2.94,12.92,10.6,11.44,5.61,45.67,42.97,53.36,49.58,-2.69,-3.78
