State,Stringency_Score,Black_TPR_Pct,White_TPR_Pct,TPR_Gap_pp,Black_FPR_Pct,White_FPR_Pct,FPR_Gap_pp,Equalized_Odds_Violation
Florida,2.4,17.3,37.3,20.0,0.0,0.0,0.0,Yes
Arizona,2.8,22.6,40.9,18.3,0.0,0.0,0.0,Yes
Tennessee,3.2,17.5,34.9,17.4,0.0,0.0,0.0,Yes
Texas,3.5,23.0,46.0,23.0,0.0,0.0,0.0,Yes
Arkansas,3.8,15.8,32.6,16.8,0.0,0.0,0.0,Yes
Oklahoma,4.1,23.9,42.4,18.5,0.0,0.0,0.0,Yes
Georgia,4.2,25.6,54.4,28.9,0.0,0.0,0.0,Yes
Louisiana,4.8,27.0,53.8,26.9,0.0,0.0,0.0,Yes
Kentucky,5.0,26.9,47.5,20.6,0.0,0.0,0.0,Yes
Ohio,5.3,33.4,60.5,27.1,0.0,0.0,0.0,Yes
Indiana,5.8,54.4,87.6,33.2,0.0,0.0,0.0,Yes
Michigan,5.9,38.5,66.1,27.6,0.0,0.0,0.0,Yes
North Carolina,6.0,39.7,64.4,24.8,0.0,0.0,0.0,Yes
Wisconsin,6.4,40.9,73.7,32.8,0.0,0.0,0.0,Yes
New York,8.4,71.0,100.0,29.0,0.0,2.1,2.1,Yes
California,8.9,83.4,100.0,16.6,0.0,4.1,4.1,Yes
Mean_16_states,5.0,35.1,58.9,23.84,0.0,0.4,0.4,100pct
